[offtarget] Loaded 37 unique guides, max_mismatches=3
[offtarget]   NW_022173818.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173819.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173820.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173821.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173822.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173823.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173824.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173825.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173826.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173827.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173828.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173829.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173830.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173831.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173832.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173833.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173834.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173835.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173836.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173837.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173838.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173839.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173840.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173841.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173842.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173843.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173844.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173845.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173846.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173847.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173848.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173849.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173850.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173851.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173852.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173853.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173854.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173855.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173856.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173857.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173858.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173859.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173860.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173861.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173862.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173863.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173864.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173865.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173866.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173867.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173868.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173869.1 — 0.3 Mb, 0 hits in 0.00s
[offtarget]   NW_022173870.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173871.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173872.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173873.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173874.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173875.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173876.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173877.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173878.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173879.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173880.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173881.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173882.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173883.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173884.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173885.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173886.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173887.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173888.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173889.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173890.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173891.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173892.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173893.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173894.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173895.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173896.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173897.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173898.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173899.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173900.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173901.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173902.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173903.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173904.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173905.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173906.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173907.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173908.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173909.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173910.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173911.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173912.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173913.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173914.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173915.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173916.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173917.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173918.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173919.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173920.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173921.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173922.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173923.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173924.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173925.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173926.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173927.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173928.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173929.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173930.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173931.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173932.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173933.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173934.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173935.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173936.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173937.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173938.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173939.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173940.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173941.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173942.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173943.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173944.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173945.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173946.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173947.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173948.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173949.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173950.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173951.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173952.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173953.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173954.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173955.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173956.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173957.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173958.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173959.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173960.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173961.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173962.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173963.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173964.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173965.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173966.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173967.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173968.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173969.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173970.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173971.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173972.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173973.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173974.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173975.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173976.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173977.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173978.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173979.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173980.1 — 0.3 Mb, 0 hits in 0.00s
[offtarget]   NW_022173981.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173982.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173983.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173984.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173985.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173986.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173987.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173988.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173989.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173990.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173991.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173992.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173993.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173994.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173995.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173996.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173997.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173998.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173999.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174000.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174001.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174002.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174003.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174004.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174005.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174006.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174007.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174008.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174009.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174010.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174011.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174012.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174013.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174014.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174015.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174016.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174017.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174018.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174019.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174020.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174021.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174022.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174023.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174024.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174025.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174026.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174027.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174028.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174029.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174030.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174031.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174032.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174033.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174034.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174035.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174036.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174037.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174038.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174039.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174040.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174041.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174042.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174043.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174044.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174045.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174046.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174047.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174048.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174049.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174050.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174051.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174052.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174053.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174054.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174055.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174056.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174057.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174058.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174059.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174060.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174061.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174062.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174063.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174064.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174065.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174066.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174067.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174068.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174069.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174070.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174071.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174072.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174073.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174074.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174075.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174076.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174077.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174078.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174079.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174080.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174081.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174082.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174083.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174084.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022174085.1 — 0.0 Mb, 0 hits in 0.00s
